pob,año,id_ent,id_mun,mun
1397.95527199,2029,20,365,Santa Catarina Lachatao
20527.0992123,2029,29,21,Nanacamilpa de Mariano Arista
5430.8538151,2021,21,33,Cohuecan
336128.74847,2029,25,11,Guasave
10834.4459556,2019,32,9,Chalchihuites
20609.3539593,2012,11,16,Huanímaro
1545.00909106,2020,20,92,San Andrés Ixtlahuaca
753.93131766,2026,20,204,San Juan Lajarcia
85501.801086,2013,15,67,Otzolotepec
4972.8292036,2020,20,145,San Francisco Lachigoló
22189.8858077,2025,16,58,Nuevo Parangaricutiro
9826.979298,2025,21,2,Acateno
2799.5579036,2017,32,27,Melchor Ocampo
13303.7950016,2029,10,20,Pánuco de Coronado
41591.832354,2028,17,3,Axochiapan
300159.63463,2030,26,43,Nogales
26269.215188,2024,30,169,José Azueta
1175.8612463,2018,20,382,Santa Cruz Tacahua
24382.2283797,2020,16,61,Ocampo
44784.702936,2024,21,199,Xiutetelco
17511.4723256,2018,16,41,Irimbo
1014.85397172,2013,20,501,Santiago Yucuyachi
9127.1594318,2011,8,12,Carichí
5981.799062,2021,20,543,Tataltepec de Valdés
4766.5062088,2012,21,215,Zongozotla
43811.220313,2015,30,30,Camerino Z. Mendoza
3126.1302236,2016,29,55,San Lucas Tecopilco
101911.45298,2026,3,1,Comondú
598.05823741,2024,20,186,San Juan Cieneguilla
9338.1864941,2018,31,6,Buctzotz
75367.762809,2020,17,28,Xochitepec
1489.70573609,2017,20,216,San Juan Tabaá
60888.786526,2014,14,15,Autlán de Navarro
40263.331029,2026,30,101,Mariano Escobedo
152018.01818,2018,12,35,Iguala de la Independencia
2441.1856639,2030,20,182,San Juan Bautista Tlacoatzintepec
4368.6806201,2027,20,339,San Pedro y San Pablo Teposcolula
688278.41938,2012,19,26,Guadalupe
4643.1766718,2019,20,421,Santa María Mixtequilla
3136.1134425,2020,31,43,Kaua
321017.4951,2019,3,3,La Paz
29706.39083,2011,30,125,Paso del Macho
120285.615425,2023,13,76,Tula de Allende
13760.7398503,2010,16,72,Queréndaro
8512.3772848,2011,28,18,Jiménez
43678.977542,2029,16,38,Huetamo
45766.046277,2016,14,22,Cihuatlán
97957.592996,2028,30,38,Coatepec
80716.731775,2023,16,82,Tacámbaro
